Data Movimento;Banco;Historico;Valor
17/01/2020;CAIXA;ENVIO TEV;3.000,00 D
03/02/2020;CAIXA;CT SALARIO;7.817,65 C
04/02/2020;CAIXA;SAQUE ATM;1.500,00 D
05/02/2020;CAIXA;SAQUE ATM;1.500,00 D
06/02/2020;CAIXA;SAQUE ATM;1.500,00 D
12/02/2020;CAIXA;SAQUE ATM;1.500,00 D
28/02/2020;CAIXA;CP MAESTRO;507,98 D
02/03/2020;CAIXA;CT SALARIO;7.817,65 C
02/03/2020;CAIXA;SAQUE ATM;1.500,00 D
03/03/2020;CAIXA;SAQUE ATM;1.500,00 D
06/03/2020;CAIXA;SAQUE B24H;1.500,00 D
20/03/2020;CAIXA;ENVIO TEV;400,00 D
01/04/2020;CAIXA;CT SALARIO;7.510,70 C
01/04/2020;CAIXA;SAQUE ATM;1.500,00 D
01/04/2020;CAIXA;SAQUE ATM;500,00 D
02/04/2020;CAIXA;SAQUE ATM;1.500,00 D
02/04/2020;CAIXA;SAQUE ATM;500,00 D
02/04/2020;CAIXA;CP MAESTRO;446,52 D
03/04/2020;CAIXA;SAQUE ATM;1.500,00 D
03/04/2020;CAIXA;SAQUE ATM;500,00 D
27/04/2020;CAIXA;SAQUE ATM;1.500,00 D
28/04/2020;CAIXA;SAQUE ATM;1.500,00 D
30/04/2020;CAIXA;CP MAESTRO;382,86 D
04/05/2020;CAIXA;CT SALARIO;7.203,76 C
14/05/2020;CAIXA;SAQUE ATM;1.500,00 D
26/05/2020;CAIXA;SAQUE ATM;1.500,00 D
28/05/2020;CAIXA;DOC-IR;4.303,69 C
28/05/2020;CAIXA;SAQUE ATM;1.500,00 D
28/05/2020;CAIXA;CP MAESTRO;479,66 D
29/05/2020;CAIXA;SAQUE ATM;1.500,00 D
01/06/2020;CAIXA;CT SALARIO;7.203,76 C
02/06/2020;CAIXA;PAG BOLETO;2.500,00 D
17/06/2020;CAIXA;CP MAESTRO;3.000,00 D
25/06/2020;CAIXA;SAQUE ATM;1.500,00 D
01/07/2020;CAIXA;CT SALARIO;11.660,31 C
01/07/2020;CAIXA;CP MAESTRO;390,68 D
02/07/2020;CAIXA;SAQUE ATM;1.400,00 D
06/07/2020;CAIXA;ENVIO TEV;5.000,00 D
16/07/2020;CAIXA;ENVIO TEV;5.000,00 D
30/07/2020;CAIXA;SAQUE ATM;1.500,00 D
30/07/2020;CAIXA;CP MAESTRO;416,09 D
03/08/2020;CAIXA;CT SALARIO;7.203,76 C
13/08/2020;CAIXA;CP MAESTRO;1.538,70 D
01/09/2020;CAIXA;CT SALARIO;7.203,76 C
01/09/2020;CAIXA;SAQUE ATM;1.500,00 D
02/09/2020;CAIXA;SAQUE ATM;1.500,00 D
02/09/2020;CAIXA;CP MAESTRO;615,13 D
03/09/2020;CAIXA;SAQUE ATM;1.500,00 D
09/09/2020;CAIXA;SAQUE B24H;1.500,00 D
14/09/2020;CAIXA;SAQUE ATM;1.500,00 D
14/09/2020;CAIXA;SAQUE ATM;1.500,00 D
29/09/2020;CAIXA;SAQUE ATM;1.500,00 D
30/09/2020;CAIXA;SAQUE B24H;1.500,00 D
01/10/2020;CAIXA;CT SALARIO;7.203,76 C
01/10/2020;CAIXA;SAQUE ATM;1.500,00 D
01/10/2020;CAIXA;CP MAESTRO;507,57 D
02/10/2020;CAIXA;SAQUE B24H;1.000,00 D
30/10/2020;CAIXA;SAQUE ATM;1.500,00 D
03/11/2020;CAIXA;CT SALARIO;7.203,76 C
03/11/2020;CAIXA;SAQUE ATM;1.500,00 D
03/11/2020;CAIXA;CP MAESTRO;400,45 D
05/11/2020;CAIXA;SAQUE B24H;1.500,00 D
06/11/2020;CAIXA;SAQUE ATM;1.500,00 D
09/11/2020;CAIXA;ENVIO TEV;200,00 D
30/11/2020;CAIXA;CP MAESTRO;255,80 D
01/12/2020;CAIXA;CT SALARIO;10.602,17 C
04/12/2020;CAIXA;SAQUE B24H;1.500,00 D
04/12/2020;CAIXA;CP MAESTRO;1.514,30 D
07/12/2020;CAIXA;SAQUE ATM;1.500,00 D
08/12/2020;CAIXA;ENVIO TEV;5.000,00 D
09/12/2020;CAIXA;ENVIO TEV;5.000,00 D
29/12/2020;CAIXA;SAQUE ATM;1.500,00 D
04/01/2021;CAIXA;CT SALARIO;7.203,76 C
06/01/2021;CAIXA;SAQUE B24H;1.500,00 D
11/01/2021;CAIXA;SAQUE ATM;1.500,00 D
26/01/2021;CAIXA;SAQUE B24H;1.500,00 D
01/02/2021;CAIXA;CT SALARIO;7.139,14 C
01/02/2021;CAIXA;SAQUE B24H;1.500,00 D
02/02/2021;CAIXA;CP MAESTRO;448,87 D
08/02/2021;CAIXA;SAQUE ATM;1.500,00 D
08/02/2021;CAIXA;SAQUE ATM;1.500,00 D
12/02/2021;CAIXA;ENVIO TEV;200,00 D
01/03/2021;CAIXA;CT SALARIO;7.139,14 C
01/04/2021;CAIXA;CT SALARIO;7.139,14 C
08/04/2021;CAIXA;ENVIO PIX;3.000,00 D
15/04/2021;CAIXA;ENVIO PIX;10.000,00 D
29/04/2021;CAIXA;SAQUE B24H;1.500,00 D
30/04/2021;CAIXA;CP ELECTRO;696,37 D
03/05/2021;CAIXA;CT SALARIO;7.139,14 C
03/05/2021;CAIXA;SAQUE B24H;200,00 D
04/05/2021;CAIXA;ENVIO PIX;3.000,00 D
28/05/2021;CAIXA;DOC-IR;4.290,72 C
01/06/2021;CAIXA;CT SALARIO;7.139,14 C
01/06/2021;CAIXA;CP ELECTRO;419,60 D
02/06/2021;CAIXA;ENVIO PIX;3.000,00 D
